Date,Calories brûlées,Pas,Distance,Étages,Minutes Sédentaire,Minutes Peu actif,Minutes Assez actif,Minutes Très actif,Dépense calorique
"01-01-2016","1 491","0","0","0","1 440","0","0","0","0"
"02-01-2016","1 491","0","0","0","1 440","0","0","0","0"
"03-01-2016","1 491","0","0","0","1 440","0","0","0","0"
"04-01-2016","1 491","0","0","0","1 440","0","0","0","0"
"05-01-2016","1 491","0","0","0","1 440","0","0","0","0"
"06-01-2016","1 491","0","0","0","1 440","0","0","0","0"
"07-01-2016","1 491","0","0","0","1 440","0","0","0","0"
"08-01-2016","1 491","0","0","0","1 440","0","0","0","0"
"09-01-2016","1 491","0","0","0","1 440","0","0","0","0"
"10-01-2016","1 993","11 290","7,64","0","1 180","115","10","51","660"
"11-01-2016","2 460","11 419","7,78","0","649","284","16","32","1 232"
"12-01-2016","2 823","17 148","11,63","0","547","355","17","65","1 716"
"13-01-2016","2 352","10 652","7,24","0","734","207","20","48","1 069"
"14-01-2016","2 264","10 276","7,03","0","1 206","187","8","39","959"
"15-01-2016","1 754","3 034","2,05","0","1 259","120","0","0","381"
"16-01-2016","2 662","16 874","11,63","0","654","254","66","60","1 535"
"17-01-2016","2 416","12 300","8,33","0","864","237","31","51","1 217"
"18-01-2016","2 271","8 771","6,01","0","682","285","3","20","1 046"
"19-01-2016","2 298","9 482","6,42","0","567","274","6","25","1 062"
"20-01-2016","2 260","9 112","6,19","0","661","247","12","27","1 008"
"21-01-2016","2 215","8 169","5,53","0","712","231","8","19","911"
"22-01-2016","2 387","11 182","7,62","0","630","227","16","46","1 117"
"23-01-2016","2 950","21 289","14,54","0","459","352","49","75","1 924"
"24-01-2016","2 487","13 826","9,39","0","558","256","13","66","1 322"
"25-01-2016","2 594","15 144","10,25","0","568","271","37","53","1 424"
"26-01-2016","2 512","13 779","9,35","0","627","252","11","60","1 295"
"27-01-2016","2 321","10 752","7,33","0","715","231","9","39","1 069"
"28-01-2016","2 269","9 906","6,81","0","732","190","13","43","969"
"29-01-2016","2 332","10 916","7,42","0","800","228","13","39","1 080"
"30-01-2016","2 769","18 088","12,37","0","598","290","62","65","1 673"
"31-01-2016","2 555","14 665","9,93","0","604","254","21","71","1 379"
"01-02-2016","2 306","10 981","7,59","0","696","198","24","39","1 043"
"02-02-2016","1 474","35","0,02","0","1 088","4","0","0","10"
"03-02-2016","1 464","0","0","0","1 440","0","0","0","0"
"04-02-2016","1 464","0","0","0","1 440","0","0","0","0"
"05-02-2016","2 433","13 373","9,13","0","1 017","221","32","56","1 242"
"06-02-2016","2 852","18 399","12,61","0","538","383","55","45","1 818"
"07-02-2016","3 438","31 093","21,05","0","373","253","54","203","2 459"
"08-02-2016","1 679","2 171","1,47","0","747","92","0","0","288"
"09-02-2016","3 253","26 268","17,78","0","295","420","75","79","2 331"
"10-02-2016","3 273","27 694","18,81","0","385","262","47","168","2 243"
"11-02-2016","3 052","23 003","15,57","0","439","336","25","117","2 029"
"12-02-2016","3 007","21 770","14,74","0","382","325","70","86","1 965"
"13-02-2016","2 745","19 461","13,18","0","549","216","55","100","1 632"
"14-02-2016","2 288","10 270","6,95","0","1 048","260","20","31","1 101"
"15-02-2016","2 383","11 013","7,66","0","571","274","12","31","1 167"
"16-02-2016","2 137","7 358","4,98","0","708","186","14","25","803"
"17-02-2016","2 303","9 587","6,49","0","667","267","11","23","1 060"
"18-02-2016","2 342","10 141","6,87","0","723","251","19","33","1 088"
"19-02-2016","2 189","7 666","5,19","0","752","237","6","25","913"
